Document,CER Original,CER Corrected,Tokens (OCR),Length (OCR),Tokens (Truth),Length (Truth),Time
207410.txt,0.1978,0.2240,284,1431,292,1527,7.0098
207451.txt,0.1233,0.4123,2962,15228,2899,15921,16.5123
207514.txt,0.1670,0.8207,2210,11744,2092,11718,45.5800
207859.txt,0.1133,0.1230,5297,28025,5067,29304,14.9847
207897.txt,0.1493,0.5710,6973,35459,6620,36566,8.5748
207911.txt,0.2330,0.6480,4631,23666,4133,24057,6.4951
208009.txt,0.3631,0.2889,568,2486,433,2385,17.7334
208109.txt,0.8507,0.9970,41436,170099,29719,171678,1.4566
208144.txt,0.1563,0.5140,1254,6795,1200,6821,13.5443
208283.txt,0.1460,0.7177,9480,42448,7932,43021,6.5540
208545.txt,0.4317,0.4407,22353,123202,21538,129389,14.6299
208571.txt,0.4917,0.7417,1011,4420,977,5940,7.4687
208656.txt,0.2767,0.2127,3469,10921,2009,11077,11.1214
208682.txt,0.1953,0.2473,1231,5550,1007,5391,18.8435
208748.txt,0.5060,0.9657,21023,99411,20134,146830,0.9863
208787.txt,0.7187,0.8940,779,3729,932,5001,1.7600
208850.txt,0.1337,0.9397,4450,22030,3803,22556,1.2171
208862.txt,0.1170,0.6557,10116,47941,9114,52250,5.4310
208941.txt,0.4730,0.7557,12705,67983,11788,68693,6.2940
208955.txt,0.2517,0.9787,901,4804,825,4938,0.6308
,,,,,,,
Average Character Error Rate Original for all documents,0.3048,,,,,,
Average Character Error Rate Corrected for all documents,0.6074,,,,,,
Total time to process all documents,208.6253 seconds,,,,,,
Total tokens (OCR) for all documents,153133,,,,,,
Total characters (OCR) for all documents,727372,,,,,,
Total tokens (Truth) for all documents,132514,,,,,,
Total characters (Truth) for all documents,795063,,,,,,
